Gene	Probe_ID	MCF7__biological_rep1	MCF7__biological_rep2	MCF7__biological_rep3	MCF7_silenced_Estrogen_receptor__biological_rep1	MCF7_silenced_Estrogen_receptor__biological_rep2	MCF7_silenced_Estrogen_receptor__biological_rep3
OMA1	226019_at	8.71834	8.99793	9.27794	8.99048	8.81144	8.88956
OMA1///DAB1	226020_s_at	9.54335	9.51661	9.61505	9.32514	8.96058	8.96186
OMD	205907_s_at,205908_s_at	3.936065	3.957775	4.068145	3.953555	3.79052	4.09216
OMP	221361_at	4.45115	4.30014	4.53421	4.47375	4.50038	4.46219
ONECUT1	210745_at	6.15656	6.21931	6.11918	5.08168	5.01278	4.9084
ONECUT2	207676_at,230271_at,233441_at,233446_at,239911_at	5.918064	5.91697	6.028762	5.516768	5.446	5.578596
ONECUT3	234109_x_at	5.7216	5.56583	5.60907	5.29764	5.41656	5.50068
OOEP	238218_at	6.6524	6.46733	6.49455	5.59981	5.85614	5.66337
OOSP2	1557085_at	4.62017	4.55245	4.78472	4.66126	4.581	4.62478
OPA1	212213_x_at,212214_at,214306_at,241027_at	8.549535	8.45597	8.4411875	8.5081925	8.319395	8.366765
OPA3	206357_at,229624_at,238630_at	6.60167	6.90853666666667	6.67986	5.90966666666667	6.09807333333333	6.02264666666667
OPALIN	239575_at	4.70451	4.50002	4.55942	4.65245	4.42504	4.51335
OPCML	206215_at,214111_at	4.61301	4.73609	4.722415	4.66708	4.480505	4.581075
OPHN1	206323_x_at	10.5339	10.5385	10.6309	9.99939	10.1564	10.2256
OPLAH	222025_s_at	5.63502	5.98993	5.63831	5.90269	5.86764	5.96616
OPN1MW3///OPN1MW2///OPN1LW///OPN1MW	221327_s_at	4.87318	4.74492	4.70412	4.93335	4.98095	4.88257
OPN1SW	208036_at	4.90734	4.85579	4.67127	4.49594	4.62651	4.46662
OPN3	219032_x_at,224392_s_at	6.74422	6.758985	6.781455	7.91537	7.95757	8.030845
OPN4	234226_at	5.67784	5.47954	5.41084	5.51251	5.70783	5.75115
OPN5	1568914_at,233657_at	5.085225	4.984225	5.112555	4.868595	4.854935	5.113525
